"ID","HASH","NAME_USA","NAME_EUR","NAME_JAP","GENRE","DEVELOPER","YEAR","PLAYERS"
"1","0x88d6aec8","Battletoads","Battletoads","Battletoads","?","?","1991","2"
"2","0xd69b6150","Battletoads & Double Dragon","Battletoads & Double Dragon","Battletoads And Double Dragon - The Ultimate Team","?","?","1995","2"
"2","0xe087fa02","Battletoads & Double Dragon","Battletoads & Double Dragon","Battletoads And Double Dragon - The Ultimate Team","?","?","1995","2"
"3","0x3c93c36d","Sonic the Hedgehog 2","Sonic the Hedgehog 2","Sonic the Hedgehog 2","?","?","1992","2"
"3","0xd38f3ff9","Sonic the Hedgehog 2","Sonic the Hedgehog 2","Sonic the Hedgehog 2","?","?","1992","2"
"3","0xa4880f6f","Sonic the Hedgehog 2","Sonic the Hedgehog 2","Sonic the Hedgehog 2","?","?","1992","2"
"3","0x3d815ed5","Sonic the Hedgehog 2","Sonic the Hedgehog 2","Sonic the Hedgehog 2","?","?","1992","2"
"5","0x9f4dcc30","Sonic The Hedgehog","Sonic The Hedgehog","Sonic The Hedgehog","?","?","1991","1"
"5","0xb1d0b578","Sonic The Hedgehog","Sonic The Hedgehog","Sonic The Hedgehog","?","?","1991","1"
"5","0xc6d785ee","Sonic The Hedgehog","Sonic The Hedgehog","Sonic The Hedgehog","?","?","1991","1"
"6","0x1fd7720e","Landstalker","Landstalker: The Treasures of King Nole","Landstalker: Koutei no Zaihou","?","?","1992","1"
"6","0x7751f24f","Landstalker","Landstalker: The Treasures of King Nole","Landstalker: Koutei no Zaihou","?","?","1992","1"
"6","0x9564c93f","Landstalker","Landstalker: The Treasures of King Nole","Landstalker: Koutei no Zaihou","?","?","1992","1"
"6","0x2db3303b","Landstalker","Landstalker: The Treasures of King Nole","Landstalker: Koutei no Zaihou","?","?","1992","1"
"6","0xa136eee5","Landstalker","Landstalker: The Treasures of King Nole","Landstalker: Koutei no Zaihou","?","?","1992","1"
"7","0x2cddf25e","Streets of Rage","Streets of Rage","Bare Knuckle: Ikari no Tetsuken","?","?","1991","2"
"7","0xfa2723a7","Streets of Rage","Streets of Rage","Bare Knuckle: Ikari no Tetsuken","?","?","1991","2"
"7","0x160cfa56","Streets of Rage","Streets of Rage","Bare Knuckle: Ikari no Tetsuken","?","?","1991","2"
"7","0xf27dc145","Streets of Rage","Streets of Rage","Bare Knuckle: Ikari no Tetsuken","?","?","1991","2"
"7","0x857af1d3","Streets of Rage","Streets of Rage","Bare Knuckle: Ikari no Tetsuken","?","?","1991","2"
"8","0x4bfea8e4","Aladdin","Aladdin","Aladdin","?","?","1993","1"
"8","0x372eb35b","Aladdin","Aladdin","Aladdin","?","?","1993","1"
"9","0x1594f68a","The Lion King","The Lion King","Lion King, The","?","?","1994","1"
"10","0x3a013dca","Out of this World","Another World","Outer World","?","?","1993","1"
"10","0xa4d30962","Out of this World","Another World","Outer World","?","?","1993","1"
"11","0xf3a2b315","Shinobi III: Return of the Ninja Master","Shinobi III: Return of the Ninja Master","The Super Shinobi II","?","?","1993","1"
"11","0x3510283b","Shinobi III: Return of the Ninja Master","Shinobi III: Return of the Ninja Master","The Super Shinobi II","?","?","1993","1"
"12","0xa2e1895","Mortal Kombat","Mortal Kombat","Mortal Kombat","?","?","1993","2"
"12","0x7d292803","Mortal Kombat","Mortal Kombat","Mortal Kombat","?","?","1993","2"
"13","0x609692a1","Crusader of Centy","Soleil","Shin Souseiki Ragnacenty","?","?","1994","1"
"13","0x49a01c73","Crusader of Centy","Soleil","Shin Souseiki Ragnacenty","?","?","1994","1"
"13","0x469fbd4d","Crusader of Centy","Soleil","Shin Souseiki Ragnacenty","?","?","1994","1"
"13","0x228b1c92","Crusader of Centy","Soleil","Shin Souseiki Ragnacenty","?","?","1994","1"
"13","0x844cdea9","Crusader of Centy","Soleil","Shin Souseiki Ragnacenty","?","?","1994","1"
"13","0xcac43225","Crusader of Centy","Soleil","Shin Souseiki Ragnacenty","?","?","1994","1"
"14","0x8c58503d","Sonic & Knuckles","Sonic & Knuckles","Sonic & Knuckles","?","?","1994","1"
"15","0x375c9f06","Altered Beast","Altered Beast","Juuouki","?","?","1988","2"
"15","0x6fb0eb0a","Altered Beast","Altered Beast","Juuouki","?","?","1988","2"
"15","0xfee385f5","Altered Beast","Altered Beast","Juuouki","?","?","1988","2"
"15","0x89e4b563","Altered Beast","Altered Beast","Juuouki","?","?","1988","2"
"15","0x9ef72768","Altered Beast","Altered Beast","Juuouki","?","?","1988","2"
"18","0xb4c8a936","Mortal Kombat 3","Mortal Kombat 3","Mortal Kombat 3","?","?","1995","2"
"19","0x972b0a22","The Immortal","The Immortal","Wizard of the Immortal","?","?","1991","1"
"19","0x7f2bf3ac","The Immortal","The Immortal","Wizard of the Immortal","?","?","1991","1"
"20","0x2e731b1","Streets of Rage 2","Streets of Rage 2","Bare Knuckle II: Shitou e no Requiem","?","?","1992","2"
"20","0xe2faf215","Streets of Rage 2","Streets of Rage 2","Bare Knuckle II: Shitou e no Requiem","?","?","1992","2"
"20","0x98cb4636","Streets of Rage 2","Streets of Rage 2","Bare Knuckle II: Shitou e no Requiem","?","?","1992","2"
"20","0xdeebe85b","Streets of Rage 2","Streets of Rage 2","Bare Knuckle II: Shitou e no Requiem","?","?","1992","2"
"21","0xb1c5ad28","Dragon Ball Z: The Call of Destiny","Dragon Ball Z: The Call of Destiny","Dragon Ball Z - Buyuu Retsuden","?","?","1994","2"
"21","0xed906774","Dragon Ball Z: The Call of Destiny","Dragon Ball Z: The Call of Destiny","Dragon Ball Z - Buyuu Retsuden","?","?","1994","2"
"22","0xf017b52e","Castle of Illusion Starring Mickey Mouse","Castle of Illusion Starring Mickey Mouse","Castle of Illusion: Fushigi no Oshiro Daibouken","?","?","1990","1"
"22","0x157c8ee0","Castle of Illusion Starring Mickey Mouse","Castle of Illusion Starring Mickey Mouse","Castle of Illusion: Fushigi no Oshiro Daibouken","?","?","1990","1"
"23","0x7ebd991b","Duke Nukem 3d","Duke Nukem 3d","Duke Nukem 3d","?","?","1998","1"
"24","0x5083dee7","Beyond Oasis","The Story of Thor","The Story of Thor: Hikari o Tsugumono","?","?","1994","1"
"24","0x5f7b27c7","Beyond Oasis","The Story of Thor","The Story of Thor: Hikari o Tsugumono","?","?","1994","1"
"24","0x4a4d7c14","Beyond Oasis","The Story of Thor","The Story of Thor: Hikari o Tsugumono","?","?","1994","1"
"24","0xdeb3bad6","Beyond Oasis","The Story of Thor","The Story of Thor: Hikari o Tsugumono","?","?","1994","1"
"24","0x28fad080","Beyond Oasis","The Story of Thor","The Story of Thor: Hikari o Tsugumono","?","?","1994","1"
"24","0xbf88c33c","Beyond Oasis","The Story of Thor","The Story of Thor: Hikari o Tsugumono","?","?","1994","1"
"24","0x3f9aa3c7","Beyond Oasis","The Story of Thor","The Story of Thor: Hikari o Tsugumono","?","?","1994","1"
"24","0x8c6a28d5","Beyond Oasis","The Story of Thor","The Story of Thor: Hikari o Tsugumono","?","?","1994","1"
"25","0x6035e97a","Theme Park","Theme Park","Theme Park","?","?","1995","1"
"26","0x6eb6226b","Ecco the Dolphin","Ecco the Dolphin","Ecco the Dolphin","?","?","1992","1"
"27","0xf3cced89","QuackShot Starring Donald Duck","QuackShot Starring Donald Duck","QuackShot: I Love Donald Duck, Guruzia Ou no Hihou","?","?","1991","1"
"27","0xcc81d50a","QuackShot Starring Donald Duck","QuackShot Starring Donald Duck","QuackShot: I Love Donald Duck, Guruzia Ou no Hihou","?","?","1991","1"
